"advc_uuid","federal_entity","municipality","id_type_property","id_region_conanp","certificate_number","advc_name","certification_year","validity","main_ecosystems","surface","has_overlap"
583,12,Xochistlahuaca,1,7,CONANP-568/2024,Cerro de las Flores,2024,"30","Encino-pino, Selvas medianas subcaducifolias",0.597578,0
586,20,San Pedro Mixtepec,3,8,CONANP-571/2024,SNA,2024,"15","Vegetación de duna costera, Selva baja caducifolia y Manglar",7.270518,0
585,20,Santiago Jocotepec,1,8,CONANP-569/2024,Veinte Cerros,2024,"15",Selva alta perennifolia,1500,0
582,24,San Ignacio,3,2,CONANP-563/2024,Las Cuevas del Jaguar,2024,"99",Selva baja caducifolia y vegetación secundaria de selva baja caducifolia,160.737894,0
587,26,Sahuaripa,3,2,CONANP-573/2024,Jaguar del Norte-Tres Corrientes,2024,"65","Matorral subtropical, Boque de mezquite, Selva baja caducifolia y Vegetación secundaria arbustiva de matorral subtropical",1427.56,0
592,29,Altamira,1,5,CONANP-566/2024,Área Comunal del Ejido Santa Juana Altamira,2024,"15",Selva baja y matorral espinoso,459.844704,0
589,18,Bahía de Banderas,3,6,CONANP-570/2024,La Estropajera,2024,"30",Selva mediana subcaducifolia,3.729719,0
590,3,La Paz,3,1,CONANP-572/2024,Piedras Primeras,2024,"15",Selva baja caducifolia,4,0
593,21,Teziutlán,2,5,CONANP-565/2024,Atecomoni,2024,"99",Bosque mesófilo de montaña,76.812634,0
591,4,Champotón,1,9,CONANP-564/2024,Ejido Pixoyal,2024,"15","Selva baja espinosa subperennifolia, selva mediana subperennifolia, vegetación secundaria arbórea de selva mediana subperennifolia",10000,0
584,20,San Luis Amatlán,1,8,CONANP-562/2024,Cerro de Guinas,2024,"99",Bosque de encino,1327.9753419,0
588,14,Ixtlahuacán del Río,3,6,CONANP-567/2024,El Mexicano,2024,"15",Selva baja caducifolia,155.770525,0
250,7,Maravilla Tenejapa,1,8,CONANP-217/2010,Cerro El Mirador,2010,"15",selva alta perennifolia,237,0
1,30,Coatzacoalcos,1,5,CONANP-01/2002,Parque Ecológico Jaguaroundi,2002,"99"," selva alta perennifolia, manglar de agua dulce, pantano, vegetación acuática",960.734884,0
2,27,Tacotalpa,3,5,CONANP-02/2003,"Rancho ""La Asunción"", con el Area Natural Protegida Yu-Balcah",2003,Perpetuidad,"selva alta perennifolia inundable, manglar de agua dulce, pantano, vegetación acuática",572,0
3,20,Santiago  Jocotepec,1,8,CONANP-10/2004,Cerro Chango,2004,Perpetuidad,"selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola",700,0
4,20,San Felipe Usila,1,8,CONANP-13/2004,Área de Conservación San Pedro Tlatepusco,2004,"25","selva alta perennifolia, selva mediana subperennifolia, galería riparia, bosque mesófilo de montaña, bosque de pino-encino",5050,0
5,20,San Felipe Usila,1,8,CONANP-14/2004,Área de Conservación Santiago Tlatepusco,2004,"25","selva alta perennifolia, selva mediana subperennifolia, galería riparia, bosque mesófilo de montaña, bosque de pino-encino",4300,0
6,20,San Felipe Usila,1,8,CONANP-15/2004,Área de Conservación San Antonio del Barrio,2004,"25","selva alta perennifolia, selva mediana subperennifolia, galería riparia, bosque mesófilo de montaña, bosque de pino-encino",1500,0
7,20,San Felipe Usila,1,8,CONANP-16/2004,Área de Conservación la Tierra del Faisán,2004,"25","galería riparia, bosque mesófilo de montaña, bosque de pino-encino, bosque alpino",9670,0
8,20,Ixtlan de Juarez,1,8,CONANP-23/2005,Zonas de Conservación comunitaria Santo Domingo Cacalotepec,2005,"20","selva mediana subperennifolia, bosque mesófilo de montaña, bosque de pino-encino, bosque alpino",999.19,0
9,21,Xicotepec de Juárez,3,5,CONANP-25/2005,Cacalotepec fracción primera y fracción segunda,2005,"50",bosque mesófilo de montaña,36.478,0
10,20,San Pedro Huamelula,1,8,CONANP-26/2005,Área Comunitaria Protegida San Isidro,2005,Perpetuidad,"selva baja caducifolia, selva mediana caducifolia, selva baja espinosa, galería riparia, manglar, tular, matorral de dunas costeras",5308,0
11,20,San Juan Tepehuxila,1,8,CONANP-29/2006,Zona de Reserva Ecológica Comunal de San Juan Teponaxtla,2006,Perpetuidad,"galería riparia, bosque mesófilo de montaña, bosque de pino-encino, bosque alpino",4000,0
12,30,Amatlan de Reyes,1,5,CONANP-30-BIS 1/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 1Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.632599,0
13,30,Amatlan de Reyes,1,5,CONANP-30-BIS 2/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 2Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",7.358554,0
