"id_ficha","anp","id_region","id_cat_manejo","fecha_decreto","fecha_re","fecha_pcym","consejo_asesor","ramsar","wh","mab","vegetacion","flora","fauna","prob_amb","municipios","sup_tot","sup_terre","sup_mar","pob_est","pob_ind","fecha_act","micro","admin","hombres","mujeres","complemento","fecha_mod_dec","sinap","espm","espe","ver_lib","logo","lista_verde","liga_lista_verde"
200,Peña Colorada,7,4,"08/05/2023","01/01/1900","01/01/1900",2,"","","","71,24,80,14,34,68,83","171,996,729,997,588,92","991,530,534,386,1018,1019,1020,438,1021,773","","1766,1758",4843.59,4843.59,0,0,0,"22/06/2023","",CONANP ,0,0,0,"01/01/1900",2,"","",0,1,0,
157,Sierra de Álvarez,4,2,"07/04/1981","07/06/2000",no publicado / PM elaborado,0,"","","","4,33,34","357,741,939,362,355,740,738,349,668,37,34,943,129,944,165,216,217,945,288,292,313,947,948,949,950,729,951,952,783,7,855,953,954,212,951,955,958,856,960,791,255,962,133,963,964,965,966,967,968,969,970,971,972,973,171,930,931,932,933,934,974,936","669,753,924,479,215,925,58,3,926,438,100,439,434,927,928,929,930,326,931,251,270,204,48,596","Extracción minera sin ordenamiento
Extracción ilegal de flora
Aprovechamiento inadecuado de recursos maderables
Ganadería sin planificación
Introducción de especies exóticas
Manejo inadecuado de residuos sólidos
Cambio de uso de suelo
Incendios forestales
Sobre-explotación del agua
Actividades recreativas sin ordenamiento","1800,1854,1828",16900,16900,0,1110,0,"27/04/2021","",CONANP,0,0,1,"01/01/1900",2,"5","1.24248E+59",0,0,0,
149,El Sabinal,4,1,"25/08/1938","01/01/1900","23/05/2019",1,"","","","0","420,1072,1073,909,686,1074","121,304,235,433,482,555,1155,1135,881,857,59,28,1156,903,429,791,991",Explotación no planificada de recursos forestales (maderables y no maderables),"947",8,8,0,0,0,"24/08/2023","",CONANP Y Patronato de Cerralvo A.B.P.,0,0,1,"01/01/1900",2,"","",1,0,0,
113,Cabo San Lucas,1,2,"29/11/1973","07/06/2000",no publicado / PM elaborado,1,"",http://whc.unesco.org/en/list/1182,"","67","1055,1056,1057,1058","611,568,573,201,932,1087,1139,1140,131,1141,1087,319,148,1142,1143,262,391,187,735,735,419,213,137,45,1144,42,44,46,46,255,331,160,1031,620","Desarrollos Turísticos
Alta visitación en temporadas
Malas prácticas de Turismo","20",3996.04,208.05,3787.99,33,0,"24/08/2023","",CONANP,0,0,0,"01/01/1900",2,"52","426469887",0,1,0,
3,Barranca del Cupatitzio,6,1,"02/11/1938","01/01/1900","22/04/2009",1,"","","","3","293,473,37,429,995","189,3,117","Desarrollo urbano
Tala clandestina
Cacería Ilegal
Incendios forestales
Especies invasoras y plagas
Introducción de especies exóticas en ecosistemas terrestres o acuáticos
Erosión y degradación de suelos
Invasión de tierras
Modificación de los atributos ecológicos (desecación o dragado)
Contaminación (agua y suelo)
Tráfico ilegal de especies silvestres
","874",458.21,458.21,0,0,0,"05/10/2022","",CONANP y Ayuntamiento de Uruapan,0,0,1,"01/08/1996",2,"","43,86,112,115,170,172,174,182,302,323,383,429,435,480,520,582,585,675,719,784,791,822,850,856,857,878,907,921,1064,1102",1,1,0,
61,Arrecife Alacranes,9,1,"06/06/1994","07/06/2000","29/11/2007",1,https://rsis.ramsar.org/es/ris/1820?language=es,"",https://en.unesco.org/biosphere/lac/arrecife-alacranes,"67","0","293,6,7,441","Sobreexplotación de especies

Introducción de especies exóticas en ecosistemas terrestres o acuáticos

Presión por malas prácticas turísticas

Contaminación (agua y suelo)","2496",333768.51,53,333715.51,0,0,"01/02/2022",https://www.gob.mx/conanp/documentos/parque-nacional-arrecife-alacranes,CONANP,0,0,1,"01/01/1900",1,"","",1,1,0,
126,Bonampak,8,5,"21/08/1992","01/01/1900","08/07/2010",1,"","","","39,38,50","96410140318","356,170,404,29,938,820,263,385,40,14","Aprovechamiento sin autorización de los recursos forestales no maderables
Cacería furtiva
Incendios
Impacto del turismo
Contaminación por pesticidas","99",4357.4,4357.4,0,11,11,"01/02/2022","",CONANP,0,0,1,"01/01/1900",1,"","3.97459E+21",1,1,0,
83,Arrecife de Puerto Morelos,9,1,"02/02/1998","01/01/1900","18/09/2000",1,https://rsis.ramsar.org/es/ris/1343?language=es,"","","62,13","425,413,201,510,511,512,513,514,515,114,516,517,518,246,519,428,520,72,315,220,118,373,48,477,521","7,511,125,224,300,344,512,74,81,514,293,441,6,99,131,483","Desarrollo de infraestructura de turismo de alto impacto

Desarrollo urbano

Sobreexplotación de especies

Efectos de huracanes, sismos y actividad volcánica

Presión por malas prácticas turísticas

Contaminación (agua y suelo)

Blanqueamiento y enfermedades de corales

Especies invasoras (pez león)

Riesgo de encallamientos.","1771",9066.63,37.74,9028.89,2,0,"01/02/2022","",CONANP,0,0,1,"01/01/1900",1,"","",1,1,0,
37,Arrecifes de Xcalak,9,1,"27/11/2000","01/01/1900","08/10/2004",1,https://rsis.ramsar.org/es/ris/1320?language=es,"","","53,54,62,13","425,413,373,118,48,220,428,246,72","120,7,224,10,227,226,368,367,369,416,291,400,132,173,263,385,50,251,406,160,359","Pesca furtiva  y sobreexplotación de especies de escama 

Mal manejo de residuos por desarrollo urbano local

Encallamientos sobre arrecife 

Especies invasivas

Presión por infraestructura y operación turística ","1777",17949.45,4521.84,13427.61,0,0,"01/02/2022","",CONANP,0,0,1,"01/01/1900",1,"","46437",1,1,0,
53,Banco Chinchorro,9,10,"19/07/1996","01/01/1900","25/09/2000",1,https://rsis.ramsar.org/es/ris/1353?language=es,"",https://en.unesco.org/biosphere/lac/banco-chinchorro,"62,13","428,373,220,48,118,425","227,226,300,10,9,7,6,142,141,163,164,314,313,54,292,98,155,264,368,448,450,451,452,453,454,455,456","Pesca furtiva y sobreexplotación de especies marinas (sobrepesca)

Introducción de especies exóticas en ecosistemas terrestres o acuáticos

Encallamientos 

Fenómenos meteorológicos (cambio climático) 

Mal manejo de residuos","2502",144360,585.79,143774.21,0,0,"01/02/2022",https://www.gob.mx/conanp/documentos/reserva-de-la-biosfera-banco-chinchorro,CONANP,0,0,1,"01/01/1900",1,"92","581",1,1,0,
