id,num_certificado,nombre_advc,superficie_certificada,municipio,estado,certification_year,vigencia,tipo_propietario,principales_ecosistemas,region_conanp
1,CONANP-01/2002,Parque Ecológico Jaguaroundi,960.734884,Coatzacoalcos,Veracruz,2002,99,Empresa de Participación Estatal," selva alta perennifolia, manglar de agua dulce, pantano, vegetación acuática",Planicie Costera y Golfo de México
2,CONANP-02/2003,"Rancho ""La Asunción"", con el Area Natural Protegida Yu-Balcah",572,Tacotalpa,Tabasco,2003,Perpetuidad,Persona física,"selva alta perennifolia inundable, manglar de agua dulce, pantano, vegetación acuática",Planicie Costera y Golfo de México
3,CONANP-10/2004,Cerro Chango,700,Santiago  Jocotepec,Oaxaca,2004,Perpetuidad,"Ejido
(Tierras de Uso Común)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola",Frontera Sur Istmo y Pacífico Sur
4,CONANP-13/2004,Área de Conservación San Pedro Tlatepusco,"5,050.00",San Felipe Usila,Oaxaca,2004,25,"Comunidad 
(Bienes comunales)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, bosque mesófilo de montaña, bosque de pino-encino",Frontera Sur Istmo y Pacífico Sur
5,CONANP-14/2004,Área de Conservación Santiago Tlatepusco,"4,300.00",San Felipe Usila,Oaxaca,2004,25,"Comunidad 
(Bienes comunales)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, bosque mesófilo de montaña, bosque de pino-encino",Frontera Sur Istmo y Pacífico Sur
6,CONANP-15/2004,Área de Conservación San Antonio del Barrio,"1,500.00",San Felipe Usila,Oaxaca,2004,25,"Comunidad 
(Bienes comunales)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, bosque mesófilo de montaña, bosque de pino-encino",Frontera Sur Istmo y Pacífico Sur
7,CONANP-16/2004,Área de Conservación la Tierra del Faisán,"9,670.00",San Felipe Usila,Oaxaca,2004,25,"Comunidad 
(Bienes comunales)","galería riparia, bosque mesófilo de montaña, bosque de pino-encino, bosque alpino",Frontera Sur Istmo y Pacífico Sur
8,*CONANP-17/2005,Area de Preservación de la Naturaleza y Zona de Usos Múltiples para el Ecoturismo Kolijké,26,Zihuatehutla,Puebla,2005,Perpetuidad,Persona física,"selva mediana subperennifolia, bosque mesófilo de montaña, galería riparia de platanus, vegetación rupícola (relicto xerófilo), vegetación acuática",Planicie Costera y Golfo de México
9,CONANP-23/2005,Zonas de Conservación comunitaria Santo Domingo Cacalotepec,999.19,Ixtlan de Juarez,Oaxaca,2005,20,"Comunidad 
(Bienes comunales)","selva mediana subperennifolia, bosque mesófilo de montaña, bosque de pino-encino, bosque alpino",Frontera Sur Istmo y Pacífico Sur
10,*CONANP-24/2005,Rancho Media Luna,"15,000.00",Ocampo,Coahuila,2005,50,Persona física,"matorral xerófilo micrófilo, matorral xerófilo halófito, matorral xerófilo gipsófilo, matorral xerófilo rosetófilo, matorral xerófilo crasicaule, pradera",Noreste y Sierra Madre Oriental
11,CONANP-25/2005,Cacalotepec fracción primera y fracción segunda,36.478,Xicotepec de Juárez,Puebla,2005,50,Persona física,bosque mesófilo de montaña,Planicie Costera y Golfo de México
12,CONANP-26/2005,Área Comunitaria Protegida San Isidro,"5,308.00",San Pedro Huamelula,Oaxaca,2005,Perpetuidad,"Comunidad 
(Bienes comunales)","selva baja caducifolia, selva mediana caducifolia, selva baja espinosa, galería riparia, manglar, tular, matorral de dunas costeras",Frontera Sur Istmo y Pacífico Sur
13,CONANP-29/2006,Zona de Reserva Ecológica Comunal de San Juan Teponaxtla,"4,000.00",San Juan Tepehuxila,Oaxaca,2006,Perpetuidad,"Comunidad 
(Bienes comunales)","galería riparia, bosque mesófilo de montaña, bosque de pino-encino, bosque alpino",Frontera Sur Istmo y Pacífico Sur
14,CONANP-30-BIS 1/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 1Z-1 P1/1,2.632599,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
15,CONANP-30-BIS 2/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 2Z-1 P1/1,7.358554,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
16,CONANP-30-BIS 3/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 3Z-1 P1/1,4.500508,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
17,CONANP-30-BIS 4/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 4Z-1 P1/1,9.99061,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
18,CONANP-30-BIS 5/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 5Z-1 P1/1,2.889649,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
19,CONANP-30-BIS 6/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 6Z-1 P1/1E,1.385399,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
20,CONANP-30-BIS 7/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 8Z-1 P1/1E,0.937231,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
